latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.51845,-73.75195,41.0,-14400,America/New_York,GMT-4

time,weather_code (wmo code),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_hours (h)
1962-07-19,2,50400.00,19.8,24.3,15.0,0.0
1962-07-20,3,50400.00,20.3,25.4,14.1,0.0
1962-07-21,63,32986.38,20.0,22.8,17.9,13.0
1962-07-22,3,50400.00,18.0,21.6,14.7,0.0
1962-07-23,63,30953.99,15.1,19.7,11.0,8.0
1962-07-24,55,43800.52,17.8,23.2,13.0,6.0
1962-07-25,51,41504.07,19.7,25.4,13.8,2.0
1962-07-26,63,26264.39,18.1,20.4,15.0,19.0
1962-07-27,53,19767.36,15.3,17.4,13.5,14.0
1962-07-28,3,45271.01,19.1,24.4,14.0,0.0
1962-07-29,3,44967.64,18.9,21.5,16.3,0.0
1962-07-30,3,48806.90,20.1,24.8,14.9,0.0
1962-07-31,63,24113.04,20.4,24.5,18.4,17.0
1962-08-01,61,49352.49,19.2,24.1,15.3,4.0
1962-08-02,3,49216.46,18.5,23.2,13.3,0.0
1962-08-03,3,49078.87,20.2,25.5,14.6,0.0
1962-08-04,53,45906.81,21.7,27.1,17.4,2.0
1962-08-05,63,30504.24,21.3,24.2,18.9,15.0
1962-08-06,51,41190.08,22.7,27.5,18.0,2.0
1962-08-07,63,12204.60,22.1,23.9,21.0,13.0
1962-08-08,51,16798.89,17.8,20.7,15.9,7.0
1962-08-09,53,8810.76,16.1,17.2,14.8,1.0
1962-08-10,3,27634.12,16.7,19.6,13.9,0.0
1962-08-11,51,1581.68,15.3,16.9,14.0,11.0
1962-08-12,3,46536.28,17.3,23.3,11.5,0.0
1962-08-13,53,35825.55,19.4,23.9,15.2,11.0
1962-08-14,61,39220.92,19.3,22.0,17.5,15.0
1962-08-15,2,47276.57,18.3,22.8,13.4,0.0
1962-08-16,3,46262.75,19.2,24.6,12.9,0.0
1962-08-17,3,45498.39,18.3,21.0,14.7,0.0
1962-08-18,51,46019.88,15.7,19.4,11.8,2.0
1962-08-19,51,27659.67,16.4,20.6,11.4,1.0
1962-08-20,51,43456.14,21.1,26.7,16.7,2.0
1962-08-21,61,33214.33,17.8,20.7,15.2,21.0
1962-08-22,1,45334.80,17.1,22.5,11.6,0.0
1962-08-23,3,44736.10,18.4,23.2,13.1,0.0
1962-08-24,3,43727.69,20.2,26.2,14.3,0.0
1962-08-25,0,44481.50,21.2,27.0,15.6,0.0
1962-08-26,3,43892.70,23.1,28.2,18.1,0.0
1962-08-27,3,43779.92,22.9,27.4,18.2,0.0
1962-08-28,55,43200.00,21.8,24.4,19.1,7.0
1962-08-29,51,43287.80,22.7,27.4,19.3,1.0
1962-08-30,1,43470.34,21.9,26.4,17.5,0.0
1962-08-31,2,43465.65,24.0,29.1,19.5,0.0
1962-09-01,51,35332.05,23.3,26.6,20.7,8.0
1962-09-02,3,41600.41,18.7,22.5,15.4,0.0
1962-09-03,2,43442.66,17.7,22.2,12.2,0.0
1962-09-04,3,39600.00,18.1,22.1,12.2,0.0
1962-09-05,61,12005.74,16.1,19.1,10.7,12.0
1962-09-06,3,42961.23,12.2,15.8,8.8,0.0
1962-09-07,3,42806.02,15.3,19.9,10.9,0.0
1962-09-08,3,42693.14,16.8,22.4,11.4,0.0
1962-09-09,55,31363.34,17.5,22.8,13.1,5.0
1962-09-10,63,0.00,20.3,23.8,17.1,17.0
1962-09-11,53,40643.21,18.5,20.4,16.2,7.0
1962-09-12,3,12631.87,17.0,19.4,15.1,0.0
1962-09-13,61,33703.12,18.3,24.2,12.3,2.0
1962-09-14,61,38414.98,20.3,22.7,16.9,7.0
1962-09-15,51,41146.75,15.8,18.0,13.3,1.0
1962-09-16,51,39276.93,13.0,15.2,10.3,2.0
1962-09-17,63,19207.44,14.3,19.0,10.4,17.0
1962-09-18,53,38523.81,14.1,17.3,11.3,10.0
1962-09-19,55,40488.22,11.2,14.0,8.9,8.0
1962-09-20,51,39471.33,8.6,11.0,6.8,7.0
1962-09-21,51,35927.63,7.6,10.9,3.9,1.0
1962-09-22,3,27715.01,8.9,12.3,5.8,0.0
1962-09-23,1,40048.89,9.2,13.7,5.0,0.0
1962-09-24,3,39724.07,10.2,15.3,4.5,0.0
1962-09-25,53,12362.95,12.5,15.1,9.8,5.0
1962-09-26,55,7255.50,11.4,14.0,9.6,4.0
1962-09-27,3,16685.47,11.0,14.0,9.0,0.0
